Age of respondent;Rs religious preference;How fundamentalist is r currently;Religion in which raised;Tried to convince others to accept jesus;Is homosexual sex wrong?
49;Catholic;Moderate;Catholic;Yes;Always wrong
48;Protestant;Liberal;Protestant;No;Not applicable
47;None;Liberal;Protestant;No;Not wrong at all
32;Protestant;Fundamentalist;Protestant;Yes;Almost always wrong
37;Protestant;Fundamentalist;Catholic;Yes;Not applicable
72;Catholic;Moderate;Protestant;No;Don't know
21;Catholic;Moderate;Catholic;No;Don't know
36;None;Liberal;Christian;Yes;Don't know
48;Catholic;Moderate;Catholic;Yes;Not applicable
56;Protestant;Moderate;Protestant;No;Don't know
62;Protestant;Fundamentalist;Protestant;Yes;Always wrong
40;None;Liberal;Protestant;No;Almost always wrong
62;Protestant;Liberal;Protestant;No;Not wrong at all
71;None;Liberal;Protestant;No;Always wrong
58;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
34;Moslem/islam;Na-excluded;Moslem/islam;No;Not applicable
26;Moslem/islam;Na-excluded;Moslem/islam;No;Not applicable
33;Jewish;Liberal;Jewish;No;Always wrong
36;Catholic;Moderate;Catholic;No;Not wrong at all
37;None;Liberal;None;No;Not applicable
52;Catholic;Moderate;Catholic;No;Always wrong
61;Catholic;Moderate;Catholic;No;Not wrong at all
63;Catholic;Moderate;Catholic;No;Not wrong at all
74;Catholic;Moderate;Catholic;Yes;Not applicable
70;Catholic;Moderate;Catholic;No;Not wrong at all
38;Catholic;Moderate;Catholic;Yes;Not wrong at all
32;Christian;Moderate;Christian;No;Don't know
42;Hinduism;Na-excluded;Hinduism;No;Not wrong at all
41;Moslem/islam;Na-excluded;Protestant;No;Wrong only sometimes
45;Jewish;Liberal;Jewish;No;Not applicable
78;Jewish;Liberal;Jewish;No;Not wrong at all
54;Catholic;Moderate;Catholic;Yes;Not applicable
49;Catholic;Moderate;Catholic;No;Not applicable
66;Catholic;Moderate;Catholic;No;Not applicable
43;Christian;Moderate;Christian;Yes;Not applicable
